date, pm25, pm10, no2, so2, co
2022/8/30, 41, 10, 2, 4, 3
2022/8/31, 34, 7, 1, 5, 2
2022/9/1, 21, 9, 3, 5, 2
2022/9/2, 25, 9, 1, 5, 2
2022/9/3, 26, 11, 3, 4, 2
2022/9/4, 37, 13, 3, 4, 3
2022/9/5, 41, 16, 6, 5, 3
2022/9/6, 47, 14, 5, 5, 3
2022/9/7, 48, 21, 5, 7, 3
2022/9/8, 59, 11, 4, 5, 3
2022/9/9, 37, 7, 2, 6, 3
2022/9/10, 25, 5, 2, 6, 3
2022/9/11, 23, 8, 5, 6, 3
2022/9/12, 25, 9, 4, 6, 3
2022/9/13, 28, 12, 7, 7, 4
2022/9/14, 32, 6, 2, 7, 3
2022/9/15, 22, 20, 4, 7, 3
2022/9/16, 52, 9, 2, 7, 3
2022/9/17, 29, 4, 1, 7, 3
2022/9/18, 17, 3, 3, 7, 3
2022/9/19, 10, 4, 4, 6, 3
2022/9/20, 13, 6, 5, 6, 3
2022/9/21, 21, 7, 5, 1, 3
2022/9/22, 21, 11, 5, 1, 3
2022/9/23, 31, 10, 4, 1, 4
2022/9/24, 31, 15, 4, 1, 4
2022/9/25, 45, 9, 6, 2, 4
2022/9/26, 31, 10, 5, 3, 3
2022/9/27, 29, 6, 3, 3, 3
2022/9/28, 15, 43, 4, 3, 4
2022/9/29, 26, 7, 6, 2, 4
2022/9/30, 34, 5, 3, 2, 4
2022/4/1, 17, 10, 4, 1, 2
2022/4/2, 38, 13, 5, , 2
2022/4/3, 45, 13, 5, , 1
2022/4/4, 46, 9, 6, 1, 2
2022/4/5, 31, 7, 4, 1, 3
2022/4/6, 23, 19, 11, 2, 3
2022/4/7, 50, 7, 4, 2, 1
2022/4/8, 22, 5, 4, 2, 2
2022/4/9, 18, 10, 6, 1, 2
2022/4/10, 30, 7, 6, , 2
2022/4/11, 21, 16, 8, , 2
2022/4/12, 46, 20, 10, , 2
2022/4/13, 57, 20, 10, , 3
2022/4/14, 57, 21, 9, 1, 2
2022/4/15, 57, 6, 2, , 2
2022/4/16, 22, 6, 1, , 1
2022/4/17, 19, 9, 4, 1, 2
2022/4/18, 34, 14, 6, 1, 2
2022/4/19, 46, 14, 6, 1, 2
2022/4/20, 46, 21, 9, 1, 3
2022/4/21, 58, 20, 8, 2, 3
2022/4/22, 57, 10, 2, 2, 2
2022/4/23, 40, 11, 4, 2, 3
2022/4/24, 37, 9, 10, 2, 2
2022/4/25, 24, 10, 5, 2, 2
2022/4/26, 37, 15, 4, 1, 2
2022/4/27, 50, 15, 3, 1, 2
2022/4/28, 47, 24, 6, 1, 2
2022/4/29, 62, 21, 4, 1, 2
2022/4/30, 62, 18, 5, 1, 2
2022/5/1, 56, 18, 6, 2, 2
2022/5/2, 55, 16, 7, 2, 2
2022/5/3, 50, 17, 6, 2, 2
2022/5/4, 57, 12, 7, 2, 2
2022/5/5, 40, 13, 7, 2, 2
2022/5/6, 42, 14, 4, 2, 2
2022/5/7, 49, 13, , 2, 2
2022/5/8, 41, 13, , 2, 2
2022/5/9, 43, 15, , 2, 2
2022/5/10, 45, 18, , 2, 2
2022/5/11, 49, 22, 5, 2, 2
2022/5/12, 64, 18, 7, 3, 2
2022/5/13, 50, 15, 3, 3, 2
2022/5/14, 52, 17, 2, 3, 2
2022/5/15, 51, 15, 3, 2, 1
2022/5/16, 48, 14, 6, 3, 2
2022/5/17, 42, 9, 2, 2, 2
2022/5/18, 37, 12, 5, 2, 1
2022/5/19, 45, 18, 5, 3, 2
2022/5/20, 63, 11, 2, 3, 2
2022/5/21, 56, 8, 2, 4, 1
2022/5/22, 27, 9, 1, 4, 2
2022/5/23, 44, 14, 3, 4, 2
2022/5/24, 44, 16, 4, 4, 2
2022/5/25, 47, 10, 3, 3, 1
2022/5/26, 38, 11, 2, 3, 2
2022/5/27, 36, 7, 2, 4, 1
2022/5/28, 27, 8, 3, 4, 1
2022/5/29, 22, 8, 2, 4, 2
2022/5/30, 27, 12, 3, 3, 2
2022/5/31, 39, 14, 6, 4, 2
2022/6/1, 45, 13, 5, 4, 2
2022/6/2, 43, 17, 5, 3, 2
2022/6/3, 54, 15, 5, 4, 2
2022/6/4, 49, 14, 2, 4, 2
2022/6/5, 51, 14, 5, 4, 2
2022/6/6, 48, 16, 4, 4, 2
2022/6/7, 49, 16, 7, 4, 2
2022/6/8, 51, 12, 4, 5, 2
2022/6/9, 40, 11, 3, 4, 3
2022/6/10, 38, 14, 2, 4, 3
2022/6/11, 49, 11, 2, 5, 2
2022/6/12, 41, 13, 4, , 2
2022/6/13, 45, 11, 3, , 2
2022/6/14, 32, 13, 2, , 2
2022/6/15, 40, 17, 3, 6, 2
2022/6/16, 48, 13, 2, 6, 2
2022/6/17, 46, 17, 3, 6, 2
2022/6/18, 49, 17, 3, 6, 2
2022/6/19, 52, 20, 4, 7, 2
2022/6/20, 51, 13, 3, 4, 2
2022/6/21, 37, 9, 2, 1, 2
2022/6/22, 32, 14, 3, 1, 2
2022/6/23, 45, 13, 4, , 2
2022/6/24, 43, 13, 5, , 2
2022/6/25, 40, 16, 2, 1, 3
2022/6/26, 53, 18, 5, , 3
2022/6/27, 54, 18, 5, , 3
2022/6/28, 52, 23, 5, 1, 3
2022/6/29, 61, 23, 6, 1, 3
2022/6/30, 65, 24, 6, 1, 3
2022/1/3, 14, 4, 4, 2, 
2022/1/4, 14, 7, 6, 3, 5
2022/1/5, 22, 5, 3, 2, 3
2022/1/6, 20, 13, 12, 1, 4
2022/1/7, 36, 22, 14, 1, 6
2022/1/8, 58, 30, 11, 2, 6
2022/1/9, 85, 20, 9, 2, 5
2022/1/10, 55, 12, 2, , 2
2022/1/11, 43, 24, 11, , 4
2022/1/12, 72, 17, 9, , 6
2022/1/13, 55, 22, 7, 1, 5
2022/1/14, 65, 10, 7, 1, 4
2022/1/15, 31, 23, 10, 1, 6
2022/1/16, 60, 9, 5, 2, 5
2022/1/17, 30, 10, 8, 1, 3
2022/1/18, 33, 22, 15, 1, 6
2022/1/19, 63, 8, 5, 2, 4
2022/1/20, 35, 6, 4, 2, 4
2022/1/21, 17, 8, 8, 2, 3
2022/1/22, 28, 15, 11, 2, 2
2022/1/23, 50, 25, 16, , 5
2022/1/24, 72, 19, 12, 2, 7
2022/1/25, 63, 8, 8, 2, 10
2022/1/26, 39, 11, 7, 2, 9
2022/1/27, 57, 5, 6, 2, 5
2022/1/28, 40, 5, 6, 2, 3
2022/1/29, 47, 3, 2, 3, 3
2022/1/30, 34, 15, 10, 3, 4
2022/1/31, 44, 17, 16, 3, 5
2022/2/1, 47, 5, 8, 4, 5
2022/2/2, 19, 6, 9, 2, 4
2022/2/3, 23, 15, 15, 3, 6
2022/2/4, 46, 8, 5, 3, 4
2022/2/5, 28, 6, 4, 3, 4
2022/2/6, 20, 4, 7, 4, 3
2022/2/7, 12, 5, 6, 2, 4
2022/2/8, 16, 5, 8, 2, 6
2022/2/9, 17, 14, 11, 3, 9
2022/2/10, 47, 15, 11, 3, 6
2022/2/11, 47, 11, 6, 2, 4
2022/2/12, 35, 12, 6, 2, 5
2022/2/13, 40, 20, 6, 4, 5
2022/2/14, 61, 21, 9, 4, 5
2022/2/15, 64, 18, 8, 4, 5
2022/2/16, 55, 3, 4, 5, 3
2022/2/17, 17, 6, 6, 4, 3
2022/2/18, 16, 6, 4, 4, 4
2022/2/19, 19, 6, 6, 5, 5
2022/2/20, 19, 5, 7, 5, 4
2022/2/21, 17, 6, 7, 5, 5
2022/2/22, 20, 9, 6, 4, 4
2022/2/23, 27, 12, 10, 3, 5
2022/2/24, 33, 16, 7, 4, 5
2022/2/25, 40, 13, 6, 3, 5
2022/2/26, 43, 16, 2, 3, 5
2022/2/27, 53, 10, 2, 3, 3
2022/2/28, 37, 14, 3, 3, 4
2022/3/1, 41, 23, 7, 4, 4
2022/3/2, 61, 33, 9, 5, 5
2022/3/3, 86, 31, 8, 5, 4
2022/3/4, 81, 16, 3, 4, 4
2022/3/5, 55, 14, 2, 4, 3
2022/3/6, 50, 19, 2, 5, 4
2022/3/7, 60, 15, 7, 4, 4
2022/3/8, 50, 18, 11, 5, 4
2022/3/9, 55, 13, 2, 4, 4
2022/3/10, 45, 15, 9, 3, 4
2022/3/11, 48, 18, 11, 4, 5
2022/3/12, 55, 19, 10, 4, 6
2022/3/13, 54, 27, 17, 4, 6
2022/3/14, 65, 29, 14, 5, 7
2022/3/15, 72, 25, 12, 5, 6
2022/3/16, 76, 36, 13, 4, 6
2022/3/17, 94, 31, 12, 3, 5
2022/3/18, 79, 24, 6, 3, 5
2022/3/19, 69, 27, 9, 3, 5
2022/3/20, 73, 28, 13, 3, 6
2022/3/21, 71, 29, 14, 4, 6
2022/3/22, 69, 22, 11, 4, 6
2022/3/23, 52, 26, 7, 5, 5
2022/3/24, 59, 21, 10, 6, 5
2022/3/25, 51, 24, 7, 5, 5
2022/3/26, 57, 10, 3, 4, 4
2022/3/27, 32, 20, 12, 6, 5
2022/3/28, 49, 25, 12, 7, 5
2022/3/29, 60, 21, 7, 8, 6
2022/3/30, 54, 14, 8, 4, 3
2022/3/31, 39, 4, 3, 1, 2
2021/12/28, 105, 36, 21, 3, 9
2021/12/29, 104, 26, 17, 1, 10
2021/12/30, 73, 17, 8, 1, 9
2021/12/31, 56, 6, 5, 1, 12
2022/1/1, 26, 6, 7, 1, 
2022/1/2, 21, 5, 5, 1, 
2024/12/31, , 15, 4, 2, 6
2021/12/27, , 37, 25, 2, 12
